"age","workclass","fnlwgt","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
22," Private",139883,10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
52," Private",271749,8," Never-married"," Transport-moving"," Other-relative"," Black"," Male",594,0,40," United-States"," <=50K"
63," Private",401531,2," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
72," Private",303588,9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,20," United-States"," <=50K"
53," Private",251804,3," Widowed"," Other-service"," Unmarried"," Black"," Female",0,0,30," United-States"," <=50K"
57," Private",222216,11," Widowed"," Exec-managerial"," Unmarried"," White"," Female",0,0,38," United-States"," <=50K"
20," Private",214635,10," Never-married"," Other-service"," Own-child"," White"," Male",0,0,24," United-States"," <=50K"
21," Private",204226,10," Never-married"," Other-service"," Unmarried"," White"," Female",0,0,35," United-States"," <=50K"
34," Private",190027,9," Never-married"," Other-service"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
31," Private",323069,9," Separated"," Adm-clerical"," Unmarried"," White"," Female",0,0,20," United-States"," <=50K"
18," Private",165532,8," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,25," United-States"," <=50K"
65," Private",195733,10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,30," United-States"," >50K"
42," Private",137390,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
55," Private",105138,9," Married-civ-spouse"," Adm-clerical"," Wife"," Asian-Pac-Islander"," Female",0,0,40," United-States"," <=50K"
23," Private",99399,10," Never-married"," Other-service"," Unmarried"," Amer-Indian-Eskimo"," Female",0,0,25," United-States"," <=50K"
58," Private",158611,9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
70," Private",167358,5," Widowed"," Farming-fishing"," Unmarried"," White"," Female",1111,0,15," United-States"," <=50K"
20," Private",114746,7," Married-spouse-absent"," Adm-clerical"," Own-child"," Asian-Pac-Islander"," Female",0,1762,40," South"," <=50K"
17," Private",80077,7," Never-married"," Sales"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
66," Private",149422,4," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,4," United-States"," <=50K"
25," Private",202480,12," Never-married"," Prof-specialty"," Other-relative"," White"," Male",0,0,45," United-States"," <=50K"
36," Private",271767,13," Separated"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
43," Private",177937,13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," >50K"
65," Self-emp-not-inc",118474,7," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",9386,0,59," United-States"," >50K"
45," Private",51164,10," Married-civ-spouse"," Other-service"," Wife"," Black"," Female",0,0,40," United-States"," <=50K"
34," Private",73585,14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
43," State-gov",146908,10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
59," Self-emp-not-inc",192130,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,16," United-States"," <=50K"
21," Private",149704,9," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",1055,0,40," United-States"," <=50K"
18," Private",196061,10," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,33," United-States"," <=50K"
50," Private",23780,14," Married-spouse-absent"," Prof-specialty"," Other-relative"," White"," Male",0,0,40," United-States"," <=50K"
22," Private",219941,10," Never-married"," Other-service"," Own-child"," Black"," Male",0,0,40," United-States"," <=50K"
42," Private",257780,7," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,15," United-States"," <=50K"
72," Private",28929,7," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",0,0,24," United-States"," <=50K"
63," Private",149698,10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,15," United-States"," <=50K"
33," Self-emp-inc",155781,10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
48," Private",144397,10," Divorced"," Adm-clerical"," Unmarried"," Black"," Female",0,0,30," United-States"," <=50K"
27," Private",90270,12," Married-civ-spouse"," Craft-repair"," Own-child"," Amer-Indian-Eskimo"," Male",0,0,40," United-States"," <=50K"
64," Private",29825,9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,5," United-States"," <=50K"
19," Private",52114,10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,10," United-States"," <=50K"
41," Private",239683,6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,30," United-States"," <=50K"
36," Private",94954,11," Widowed"," Other-service"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"
23," Private",184699,9," Never-married"," Adm-clerical"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
19," Private",117201,9," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,30," United-States"," <=50K"
30," Private",201624,13," Never-married"," Prof-specialty"," Not-in-family"," Black"," Male",0,0,45," United-States"," <=50K"
76," Local-gov",431192,4," Widowed"," Other-service"," Not-in-family"," White"," Male",0,0,2," United-States"," <=50K"
19," Private",241616,9," Never-married"," Adm-clerical"," Unmarried"," White"," Male",0,2001,40," United-States"," <=50K"
66," Self-emp-inc",150726,5," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",1409,0,1," United-States"," <=50K"
34," Private",164309,7," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,8," United-States"," <=50K"
64," Private",196288,12," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"
19," Private",80710,9," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
68," Self-emp-not-inc",140282,4," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,8," United-States"," <=50K"
60," Self-emp-inc",226355,11," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,2415,70," United-States"," >50K"
34," Private",181934,9," Divorced"," Craft-repair"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
42," Private",184018,10," Divorced"," Adm-clerical"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
24," Private",35633,10," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
26," Private",227332,13," Never-married"," Transport-moving"," Unmarried"," Asian-Pac-Islander"," Male",0,0,40," United-States"," <=50K"
22," Private",131573,10," Never-married"," Prof-specialty"," Own-child"," White"," Female",0,0,8," United-States"," <=50K"
58," Private",169982,10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," >50K"
50," Private",146015,9," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"
51," Private",165637,14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
50," Private",75472,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",4386,0,40," United-States"," <=50K"
22," Private",42004,10," Never-married"," Other-service"," Own-child"," White"," Male",0,0,30," United-States"," <=50K"
63," Private",150389,13," Widowed"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," >50K"
33," Private",163003,9," Divorced"," Adm-clerical"," Not-in-family"," Asian-Pac-Islander"," Female",0,0,41," China"," <=50K"
38," Private",22245,14," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,72," United-States"," >50K"
30," Private",283767,9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
69," Private",195779,11," Widowed"," Craft-repair"," Not-in-family"," White"," Female",0,0,1," United-States"," <=50K"
65," Private",36039,9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
58," Private",178660,8," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
20," Private",244689,10," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,25," United-States"," <=50K"
35," Private",327120,12," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,55," United-States"," <=50K"
17," Private",138507,6," Never-married"," Other-service"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"
47," Private",256522,9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
17," Private",145886,7," Never-married"," Other-service"," Own-child"," White"," Female",0,0,30," United-States"," <=50K"
36," Private",153078,13," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",0,0,60," United-States"," >50K"
62," Private",225652,4," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",3411,0,50," United-States"," <=50K"
61," Private",190997,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,6," United-States"," <=50K"
19," Private",194095,10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
40," Local-gov",289403,4," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,1887,40," United-States"," >50K"
42," Federal-gov",51795,9," Divorced"," Other-service"," Unmarried"," Black"," Female",0,0,32," United-States"," <=50K"
19," Private",172582,10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,50," United-States"," <=50K"
18," Private",169882,10," Never-married"," Adm-clerical"," Own-child"," White"," Female",594,0,15," United-States"," <=50K"
61," Private",347089,9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,16," United-States"," <=50K"
17," Private",333100,6," Never-married"," Farming-fishing"," Own-child"," White"," Male",1055,0,30," United-States"," <=50K"
76," Private",211453,9," Widowed"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,2," United-States"," <=50K"
60," Private",290593,14," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
69," Private",473040,3," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
62," Private",134768,16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7688,0,40," United-States"," >50K"
41," Self-emp-not-inc",195124,9," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
75," Private",111177,13," Widowed"," Prof-specialty"," Not-in-family"," White"," Female",25124,0,16," United-States"," >50K"
20," Private",174714,10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,16," United-States"," <=50K"
19," Private",62534,13," Never-married"," Adm-clerical"," Own-child"," Black"," Female",0,0,40," Jamaica"," <=50K"
49," Private",261059,6," Separated"," Handlers-cleaners"," Own-child"," White"," Male",2176,0,40," United-States"," <=50K"
72," Private",213255,9," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",0,0,8," United-States"," <=50K"
31," Private",169104,13," Never-married"," Sales"," Own-child"," Asian-Pac-Islander"," Male",0,0,40," United-States"," <=50K"
20," Private",206671,10," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",1055,0,50," United-States"," <=50K"
55," Private",98361,14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",15024,0,50," United-States"," >50K"
35," Federal-gov",451940,9," Never-married"," Adm-clerical"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
36," Private",200904,12," Married-civ-spouse"," Adm-clerical"," Wife"," Black"," Female",0,0,21," Haiti"," <=50K"
26," Private",211798,9," Separated"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
39," Private",71701,9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
64," Private",168340,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"
22," Private",376277,10," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
32," Private",158784,4," Widowed"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
47," Federal-gov",168191,10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
45," Private",182655,13," Divorced"," Other-service"," Not-in-family"," White"," Male",0,0,45," United-States"," >50K"
51," Private",167651,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
65," Private",266081,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
17," Private",158762,6," Never-married"," Sales"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
17," Private",228373,6," Never-married"," Other-service"," Own-child"," White"," Male",0,0,30," United-States"," <=50K"
52," Private",185407,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
19," Private",263338,10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,45," United-States"," <=50K"
21," Private",163665,10," Never-married"," Farming-fishing"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
63," Private",231777,14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,30," United-States"," <=50K"
60," Private",386261,13," Married-spouse-absent"," Adm-clerical"," Unmarried"," Black"," Female",0,0,15," United-States"," <=50K"
23," Private",22966,13," Never-married"," Other-service"," Own-child"," White"," Male",0,0,35," United-States"," <=50K"
29," Private",149943,10," Never-married"," Other-service"," Not-in-family"," Other"," Male",0,1590,40," United-States"," <=50K"
21," Private",124242,10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
50," Private",156008,7," Married-civ-spouse"," Adm-clerical"," Own-child"," Black"," Female",0,0,40," United-States"," <=50K"
31," Private",672412,7," Separated"," Craft-repair"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"
28," Private",169631,12," Married-AF-spouse"," Other-service"," Wife"," White"," Female",0,0,3," United-States"," <=50K"
19," Private",365640,9," Never-married"," Priv-house-serv"," Not-in-family"," White"," Female",0,0,45," United-States"," <=50K"
31," Private",170430,15," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,80," United-States"," <=50K"
23," Private",154373,13," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,50," United-States"," <=50K"
19," Private",33487,10," Never-married"," Adm-clerical"," Other-relative"," Amer-Indian-Eskimo"," Female",0,0,40," United-States"," <=50K"
23," Private",196816,9," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,30," United-States"," <=50K"
20," Private",376474,10," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,32," United-States"," <=50K"
63," Private",54851,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
28," Private",308493,9," Married-civ-spouse"," Sales"," Wife"," White"," Female",0,0,17," Honduras"," <=50K"
29," Private",410351,13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
22," Private",27937,10," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,36," United-States"," <=50K"
61," Self-emp-not-inc",115023,14," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,4," United-States"," <=50K"
35," Private",163392,10," Married-civ-spouse"," Transport-moving"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States"," <=50K"
17," Private",103810,8," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
61," Private",188172,16," Widowed"," Other-service"," Not-in-family"," White"," Female",0,0,5," United-States"," <=50K"
20," Private",81853,10," Never-married"," Adm-clerical"," Own-child"," Asian-Pac-Islander"," Female",0,0,15," United-States"," <=50K"
21," Private",300812,10," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,30," United-States"," <=50K"
66," Private",117778,7," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
61," Private",113544,13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,55," United-States"," <=50K"
47," Private",331650,9," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,8," United-States"," >50K"
34," Private",244147,13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"
39," Private",179352,10," Divorced"," Sales"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
60," Self-emp-not-inc",131852,3," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,30," United-States"," >50K"
20," Private",96862,10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,8," United-States"," <=50K"
18," Private",120243,7," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,27," United-States"," <=50K"
18," Private",346382,7," Never-married"," Other-service"," Own-child"," White"," Male",0,0,15," United-States"," <=50K"
23," Private",243190,10," Never-married"," Adm-clerical"," Own-child"," Asian-Pac-Islander"," Male",0,0,20," China"," <=50K"
25," State-gov",41107,13," Married-spouse-absent"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," Canada"," <=50K"
27," Private",253873,10," Divorced"," Other-service"," Not-in-family"," White"," Female",0,0,25," United-States"," <=50K"
22," Private",217421,10," Never-married"," Sales"," Own-child"," White"," Female",0,0,30," United-States"," <=50K"
22," Private",196943,10," Separated"," Adm-clerical"," Own-child"," White"," Male",0,0,25," United-States"," <=50K"
67," Self-emp-not-inc",184506,7," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,419,3," United-States"," <=50K"
20," Private",121313,6," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
61," Local-gov",192060,13," Separated"," Prof-specialty"," Not-in-family"," White"," Male",0,0,30," United-States"," <=50K"
74," Private",340939,5," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",3471,0,40," United-States"," <=50K"
23," Private",148751,10," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
39," Private",103986,9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,1590,40," United-States"," <=50K"
21," Private",79728,10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
66," Private",177351,13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,2174,40," United-States"," >50K"
20," Private",287681,10," Never-married"," Other-service"," Own-child"," White"," Male",0,0,36," United-States"," <=50K"
69," Private",183958,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,8," United-States"," <=50K"
21," Private",219835,11," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
75," Private",164849,5," Married-civ-spouse"," Transport-moving"," Husband"," Black"," Male",1409,0,5," United-States"," <=50K"
76," Local-gov",152802,10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,8," United-States"," <=50K"
19," Private",356717,10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,25," United-States"," <=50K"
19," Private",143867,10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
47," Private",277545,13," Married-civ-spouse"," Adm-clerical"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Philippines"," >50K"
47," Private",174525,9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",3942,0,40," United-States"," <=50K"
28," Private",173649,9," Never-married"," Other-service"," Own-child"," Black"," Female",0,0,40," United-States"," <=50K"
54," Local-gov",169785,14," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
19," Private",192773,10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,35," United-States"," <=50K"
43," Private",57600,16," Married-spouse-absent"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
53," Private",181317,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
54," Private",124993,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"
21," Private",148509,10," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,30," United-States"," <=50K"
34," Private",230246,5," Separated"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
67," Private",45537,14," Married-civ-spouse"," Prof-specialty"," Husband"," Black"," Male",0,0,40," United-States"," >50K"
26," Private",152046,7," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,35," Germany"," <=50K"
36," Private",153205,13," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,45," China"," <=50K"
33," Private",180656,10," Married-spouse-absent"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
67," Private",150516,9," Widowed"," Adm-clerical"," Unmarried"," White"," Male",0,0,3," United-States"," <=50K"
21," Private",34443,10," Never-married"," Farming-fishing"," Own-child"," White"," Male",0,0,50," United-States"," <=50K"
40," Local-gov",70645,10," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,20," United-States"," <=50K"
66," Private",112871,7," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,30," United-States"," <=50K"
52," Private",159755,11," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," >50K"
28," Private",128509,3," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,40," Mexico"," <=50K"
18," Private",423460,7," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,36," United-States"," <=50K"
62," Private",139391,10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,24," United-States"," <=50K"
22," Private",216563,9," Never-married"," Other-service"," Other-relative"," White"," Female",0,0,40," United-States"," <=50K"
42," Private",153132,13," Divorced"," Sales"," Unmarried"," White"," Male",0,0,45," United-States"," <=50K"
26," Private",225279,10," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,1602,40," United-States"," <=50K"
55," Private",205527,9," Divorced"," Farming-fishing"," Not-in-family"," White"," Male",0,0,20," United-States"," <=50K"
56," Private",656036,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,25," United-States"," <=50K"
34," Private",346762,7," Divorced"," Exec-managerial"," Own-child"," White"," Male",0,0,84," United-States"," <=50K"
49," State-gov",133917,16," Married-civ-spouse"," Prof-specialty"," Husband"," Black"," Male",0,1902,60," United-States"," >50K"
28," Private",192200,13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
26," Private",188343,9," Never-married"," Adm-clerical"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
46," Private",162034,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
28," Private",157813,7," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,58," Canada"," <=50K"
17," Private",179715,6," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
65," Private",327154,9," Widowed"," Sales"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
55," Self-emp-inc",183869,15," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," >50K"
35," Private",173858,9," Married-spouse-absent"," Craft-repair"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,40," Hong"," <=50K"
21," Private",230397,10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,5," United-States"," <=50K"
32," Local-gov",199046,11," Never-married"," Adm-clerical"," Unmarried"," White"," Female",0,0,2," United-States"," <=50K"
18," Private",297396,9," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,10," United-States"," <=50K"
22," Private",35448,9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,22," United-States"," <=50K"
